Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.1249,8.8078,22.6557,2.79157,32,32,0,0,,199.765,796.193,159.285,68.0419,61.9619,20.265,43.504,0.3639,7.1108,242.836,10.9405,1.95999,5.58192,0.913,0.304996,0.05464,0.2503559924662113,0.213639,1.01514,0.288137,0.772552,0.423915,,2.78281,5.88859,5.79487,6.760000228881836,,,,,,,1153.6,5.768,1073,5.365,4.08,3.66,3.38,3.17,2.97,2.79,2.61,2.42,2.17,3.54,3.36,3.24,3.14,3.04,2.95,2.86,2.75,2.61,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",13.5488,9.068,21.2598,2.92097,32,32,0,0,,193.982,785.668,158.111,69.2307,62.9571,17.5661,51.6545,0.5028,7.1724,236.968,10.9944,2.39657,4.58755,0.815,0.301613,0.065746,0.2358671948313713,0.217532,1.08137,0.297572,0.758939,0.443775,,2.77894,5.6829,5.74043,10.329999923706055,,,,,,,1100.4,5.6721649484536085,1033,5.324742268041237,4.29,3.84,3.55,3.32,3.11,2.92,2.73,2.52,2.26,3.75,3.55,3.41,3.29,3.19,3.08,2.98,2.86,2.7,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",13.6159,8.9302,20.7285,3.01991,32,32,0,0,,192.855,773.898,157.522,70.8265,64.7117,19.4998,49.9141,0.493,6.0093,238.635,11.1364,2.32935,4.78092,0.91,0.308355,0.064497,0.24385782331228256,0.219397,1.0756,0.300152,0.758367,0.454958,,2.84475,5.58996,5.39046,11.84000015258789,,,,,,,1093.7,5.666839378238342,1028,5.3264248704663215,4.39,3.94,3.65,3.41,3.21,3.01,2.82,2.61,2.34,3.84,3.64,3.5,3.38,3.28,3.18,3.08,2.96,2.81,"Garrett Crochet","27463",676979
"Cristopher Sánchez","PHI",13.5502,9.3098,21.1234,3.14793,32,32,0,0,,198.055,812.033,182.664,77.1805,69.2737,17.5609,50.5743,0.4953,6.6733,191.361,8.69583,2.29819,3.78377,0.798,0.235657,0.0622811,0.17337608337402344,0.242008,1.17764,0.302462,0.747929,0.545382,,3.22254,4.70432,5.14912,25.65999984741211,,,,,,,976,4.929292929292929,964,4.8686868686868685,4.6,4.15,3.86,3.62,3.41,3.22,3.02,2.81,2.54,4.02,3.83,3.69,3.58,3.49,3.39,3.29,3.18,3.03,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.861,7.6883,17.7403,3.18998,27.54,27.54,0,0,,168.535,685.38,139.61,64.9438,59.7359,18.1269,44.2865,0.5229,8.6056,205.598,10.9792,2.36496,4.64246,0.968,0.299977,0.064616,0.23536096513271332,0.220731,1.09115,0.297197,0.750401,0.416542,,3.03503,4.15248,4.32281,39.09000015258789,,,,,,,918.2,5.433136094674556,864,5.112426035502959,4.65,4.16,3.84,3.58,3.36,3.15,2.94,2.71,2.43,4.03,3.82,3.67,3.55,3.44,3.34,3.23,3.11,2.94,"Chris Sale","10603",519242
"Logan Webb","SFG",12.6159,10.3718,20.7533,3.3148,32,32,0,0,,199.392,830.798,193.731,81.7233,73.4381,16.616,47.1769,0.7552,6.0499,187.378,8.45775,2.12944,3.97182,0.75,0.22554,0.056785,0.16875510290265083,0.249149,1.20821,0.30879,0.731394,0.547548,,3.13981,4.10886,3.93109,59.93000030517578,,,,,,,974.1000000000003,4.894974874371861,989,4.969849246231155,4.79,4.34,4.05,3.81,3.6,3.4,3.2,2.98,2.7,4.19,4,3.87,3.77,3.67,3.58,3.48,3.37,3.22,"Logan Webb","17995",657277
"Cole Ragans","KCR",11.7974,8.5568,17.3529,3.31013,29.16,29.16,0,0,,172.018,711.112,139.926,68.6979,63.2669,18.9602,62.2671,0.598,5.6349,210.676,11.0226,3.25782,3.38342,0.992,0.296262,0.087563,0.20869920402765274,0.217544,1.17542,0.29249,0.760013,0.398403,,3.30278,4.06645,4.11862,46.279998779296875,,,,,,,893.0999999999999,5.192441860465116,831,4.8313953488372094,4.79,4.3,3.97,3.71,3.48,3.27,3.06,2.83,2.53,4.18,3.96,3.81,3.68,3.57,3.46,3.34,3.21,3.04,"Cole Ragans","21846",666142
"Jacob deGrom","TEX",11.4007,9.1397,17.1277,3.52118,29.16,29.16,0,0,,174.797,715.795,152.535,73.6472,68.388,23.5976,39.8297,0.4402,5.3427,202.822,10.4429,2.05076,5.09223,1.215,0.283352,0.055644,0.22770780324935913,0.227452,1.1005,0.290266,0.745113,0.378878,,3.34476,4.04953,3.37993,48.630001068115234,,,,,,,873,4.988571428571428,834,4.765714285714286,5.03,4.52,4.18,3.92,3.68,3.46,3.24,3,2.69,4.43,4.19,4.02,3.88,3.76,3.64,3.52,3.38,3.19,"Jacob deGrom","10954",594798
"Sonny Gray","BOS",11.5573,9.9606,16.9879,3.69224,30.78,30.78,0,0,,181.357,757.232,171.241,80.8871,74.4015,21.1382,47.9002,0.5013,5.6603,189.678,9.41295,2.37709,3.95986,1.049,0.250489,0.063257,0.18723206222057343,0.243354,1.20834,0.304558,0.72939,0.450923,,3.44459,3.88205,3.47428,135.08999633789062,,,,,,,854.5000000000001,4.720994475138122,850,4.696132596685083,5.22,4.73,4.4,4.14,3.91,3.7,3.48,3.24,2.94,4.56,4.36,4.22,4.1,3.99,3.89,3.78,3.66,3.49,"Sonny Gray","12768",543243
"Dylan Cease","TOR",11.8904,9.3985,16.9304,3.53879,30.78,30.78,0,0,,177.809,746.471,149.425,75.6648,69.9145,21.1198,64.94,1.1317,5.6523,208.814,10.5693,3.287,3.21549,1.069,0.279735,0.086996,0.19273904711008072,0.221082,1.20559,0.287715,0.750553,0.381153,,3.52154,3.7563,3.24935,75.30999755859375,,,,,,,876.5000000000001,4.924157303370787,822,4.617977528089888,5.01,4.53,4.21,3.95,3.73,3.52,3.3,3.07,2.78,4.35,4.16,4.02,3.91,3.81,3.71,3.61,3.49,3.33,"Dylan Cease","18525",656302
"Framber Valdez","DET",11.9981,10.0362,19.3478,3.42869,30.78,30.78,0,0,,190.384,795.586,179.669,80.4547,72.5297,15.5057,62.016,0.4225,7.8493,176.127,8.32603,2.93168,2.84002,0.733,0.22138,0.0779501,0.14343000948429108,0.247573,1.26946,0.307371,0.732941,0.555109,,3.4446,3.72633,3.72387,85.4000015258789,,,,,,,883.2,4.648421052631579,884,4.652631578947369,4.95,4.48,4.17,3.93,3.71,3.5,3.3,3.07,2.78,4.32,4.13,3.99,3.88,3.78,3.69,3.58,3.47,3.32,"Framber Valdez","17295",664285
"Zack Wheeler","PHI",10.7562,7.4374,16.051,3.20006,25.92,25.92,0,0,,154.827,628.612,129.29,59.9329,55.0507,17.8223,39.1267,0.4909,6.8651,177.809,10.3359,2.27441,4.54443,1.036,0.282859,0.062243,0.22061622887849808,0.221912,1.08777,0.288039,0.756167,0.415291,,3.22587,3.71587,4.06046,114.26000213623047,,,,,,,808.1999999999999,5.2141935483870965,759,4.896774193548387,4.68,4.18,3.86,3.6,3.37,3.16,2.95,2.72,2.43,3.99,3.8,3.67,3.56,3.46,3.37,3.27,3.15,3,"Zack Wheeler","10310",554430
"Max Fried","NYY",12.8292,9.1059,19.6948,3.28062,30.78,30.78,0,0,,189.434,789.308,175.566,76.5161,69.0511,18.6698,54.2523,0.6299,7.4163,179.618,8.53365,2.57753,3.31079,0.887,0.227564,0.068734,0.15882988274097443,0.241282,1.21319,0.296394,0.75266,0.50471,,3.49662,3.6936,3.81124,50.93000030517578,,,,,,,884.3000000000001,4.678835978835979,875,4.62962962962963,4.76,4.3,4,3.75,3.54,3.34,3.13,2.91,2.63,4.15,3.96,3.83,3.71,3.61,3.52,3.41,3.3,3.15,"Max Fried","13743",608331
"Hunter Brown","HOU",11.9041,9.7644,17.6664,3.62719,30.78,30.78,0,0,,184.176,769.968,164.879,81.0076,74.227,20.8733,60.8498,0.5467,7.1746,200.266,9.78626,2.9735,3.29116,1.02,0.260097,0.079029,0.18106815218925476,0.23489,1.22561,0.299511,0.736472,0.472946,,3.54178,3.5854,3.27611,36.70000076293945,,,,,,,870.3000000000002,4.729891304347827,843,4.581521739130435,5.15,4.67,4.34,4.09,3.86,3.64,3.43,3.19,2.89,4.51,4.31,4.16,4.04,3.94,3.83,3.72,3.6,3.43,"Hunter Brown","25880",686613
"Jesús Luzardo","PHI",11.9163,9.5604,17.3351,3.57127,30.78,30.78,0,0,,180.975,751.557,158.613,77.7784,71.8123,23.3257,57.4212,0.7162,5.5938,197.757,9.83456,2.85559,3.44396,1.16,0.263129,0.076403,0.18672610074281693,0.230361,1.19373,0.28941,0.753938,0.404283,,3.66983,3.51333,3.86515,73.33000183105469,,,,,,,850.1,4.6966850828729285,813,4.49171270718232,5.06,4.57,4.25,3.99,3.77,3.55,3.34,3.1,2.8,4.43,4.22,4.07,3.95,3.84,3.74,3.63,3.5,3.33,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",11.0163,7.1402,15.2774,3.44868,25.92,25.92,0,0,,154.428,639.72,138.999,64.9291,59.1749,16.7469,47.1397,0.4075,5.206,162.558,9.47379,2.74728,3.44843,0.976,0.254108,0.073688,0.18042004853487015,0.236645,1.20534,0.299587,0.745021,0.492277,,3.45652,3.42854,3.29851,26.65999984741211,,,,,,,739.1000000000003,4.799350649350651,719,4.6688311688311686,5.04,4.52,4.18,3.91,3.67,3.45,3.22,2.98,2.67,4.33,4.12,3.98,3.87,3.76,3.66,3.55,3.43,3.27,"Yoshinobu Yamamoto","33825",808967
"Nathan Eovaldi","TEX",11.0559,9.4873,16.6777,3.64878,29.16,29.16,0,0,,174.547,724.26,164.562,77.0827,70.7647,20.5189,44.5572,0.6917,7.0847,171.529,8.84443,2.29746,3.84965,1.058,0.236834,0.061521,0.17531313747167587,0.244659,1.19807,0.299735,0.73194,0.459885,,3.58552,3.35716,3.04799,141.49000549316406,,,,,,,795.7,4.546857142857143,790,4.514285714285714,5.21,4.7,4.37,4.1,3.87,3.65,3.43,3.19,2.88,4.55,4.34,4.19,4.06,3.95,3.84,3.73,3.6,3.43,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",10.7185,9.7377,15.8628,3.81426,29.16,29.16,0,0,,172.8,713.46,154.778,78.1314,73.2338,24.8832,41.9329,0.3439,8.1834,189.389,9.86403,2.184,4.51649,1.296,0.265452,0.058774,0.20667814463377,0.233329,1.13837,0.289251,0.73254,0.335611,,3.6852,3.32571,2.96153,79.80000305175781,,,,,,,797.7,4.6109826589595375,768,4.4393063583815024,5.31,4.8,4.47,4.2,3.96,3.74,3.52,3.27,2.96,4.64,4.43,4.28,4.16,4.05,3.94,3.83,3.7,3.53,"Joe Ryan","21390",657746
"Bryan Woo","SEA",12.3833,10.3597,19.074,3.5934,32,32,0,0,,195.095,801.211,176.201,84.2029,77.8949,26.056,44.1163,0.6634,7.537,195.611,9.0238,2.03515,4.43398,1.202,0.244144,0.055062,0.18908189609646797,0.235073,1.12928,0.284424,0.7404,0.394697,,3.66035,3.30568,2.94012,35.68000030517578,,,,,,,901.6,4.6235897435897435,873,4.476923076923077,5.05,4.58,4.26,4.01,3.79,3.58,3.37,3.13,2.84,4.46,4.24,4.09,3.97,3.86,3.75,3.64,3.51,3.34,"Bryan Woo","30279",693433
"Ranger Suarez","BOS",10.7888,9.5863,15.8849,3.74174,29.16,29.16,0,0,,171.504,723.339,170.074,78.0797,71.3025,18.2556,49.3498,0.8123,5.6681,153.202,8.03961,2.58973,3.10442,0.958,0.211799,0.068225,0.1435740441083908,0.25448,1.27941,0.305554,0.729082,0.489771,,3.69473,3.25684,3.19535,180.41000366210938,,,,,,,750.3999999999999,4.362790697674418,767,4.459302325581396,5.34,4.83,4.5,4.23,3.99,3.77,3.55,3.3,2.99,4.66,4.45,4.3,4.18,4.08,3.97,3.86,3.73,3.57,"Ranger Suarez","17277",624133
"Drew Rasmussen","TBR",10.5291,10.4232,15.2194,3.7173,30.78,30.78,0,0,,171.003,713.704,163.769,76.9513,70.6301,19.4944,45.0333,0.6031,6.0294,160.812,8.46361,2.37013,3.57095,1.026,0.22532,0.063098,0.16222188621759415,0.247146,1.22104,0.299117,0.726411,0.456954,,3.63215,3.23942,2.90128,143.19000244140625,,,,,,,774.3000000000001,4.528070175438597,777,4.543859649122807,5.33,4.8,4.46,4.18,3.94,3.71,3.48,3.23,2.91,4.69,4.45,4.28,4.15,4.02,3.9,3.77,3.63,3.44,"Drew Rasmussen","25385",656876
"Shane McClanahan","TBR",9.1115,7.8171,14.1561,3.35272,24.3,24.3,0,0,,142.175,583.64,123.159,57.817,52.9635,16.2869,41.7903,0.4657,4.0761,157.866,9.99332,2.64543,3.77758,1.031,0.270486,0.0716029,0.19888286292552948,0.229016,1.16019,0.29391,0.753669,0.444956,,3.37144,3.22636,3.05982,202.24000549316406,,,,,,,712.2,5.0154929577464795,680,4.788732394366197,4.99,4.43,4.07,3.78,3.53,3.29,3.06,2.81,2.49,4.32,4.07,3.89,3.75,3.63,3.5,3.38,3.23,3.05,"Shane McClanahan","21483",663556
"Logan Gilbert","SEA",11.2072,8.8469,16.175,3.39687,29.16,29.16,0,0,,166.486,678.151,144.331,68.0558,62.8369,20.8848,38.7672,0.9284,5.8925,181.781,9.82683,2.0957,4.68905,1.129,0.268054,0.057166,0.21088812872767448,0.227834,1.09978,0.286534,0.74771,0.398084,,3.38692,3.17979,2.90631,34.86000061035156,,,,,,,824.7000000000002,4.968072289156628,786,4.734939759036145,4.87,4.38,4.06,3.8,3.57,3.36,3.15,2.91,2.62,4.2,4.01,3.87,3.76,3.66,3.56,3.46,3.34,3.18,"Logan Gilbert","22250",669302
"George Kirby","SEA",11.6747,9.6497,17.0941,3.51006,30.78,30.78,0,0,,178.218,732.504,165.622,75.6107,69.5063,22.0595,33.8153,0.4769,7.2481,173.778,8.77576,1.70767,5.13903,1.114,0.237238,0.046164,0.19107403978705406,0.239531,1.11906,0.289672,0.73464,0.423027,,3.48531,3.16657,2.75598,66.6500015258789,,,,,,,839.9999999999999,4.719101123595505,829,4.657303370786517,5,4.52,4.2,3.94,3.72,3.5,3.29,3.06,2.76,4.36,4.16,4.02,3.9,3.8,3.69,3.59,3.47,3.31,"George Kirby","25436",669923
"Brandon Woodruff","MIL",10.0067,9.5886,15.5975,3.85328,27.54,27.54,0,0,,167.715,695.047,150.708,76.9366,71.8058,24.4677,45.7758,0.3871,6.6662,176.195,9.45507,2.45644,3.84909,1.313,0.253501,0.06586,0.1876409947872162,0.234527,1.17154,0.285649,0.736904,0.364232,,3.86862,3.08969,2.83205,124.76000213623047,,,,,,,748.4,4.454761904761905,721,4.291666666666667,5.45,4.91,4.55,4.26,4.01,3.78,3.54,3.28,2.95,4.82,4.56,4.38,4.23,4.1,3.97,3.83,3.68,3.48,"Brandon Woodruff","16162",605540
"José Soriano","LAA",10.6087,10.7138,16.3759,3.67681,30.78,30.78,0,0,,177.273,759.523,169.407,80.1871,72.422,14.8515,75.5004,0.695,8.6335,164.749,8.36418,3.8331,2.18209,0.754,0.216911,0.099405,0.1175059899687767,0.250829,1.38153,0.311736,0.73498,0.57228,,3.78935,3.02401,3.12444,342.0799865722656,,,,,,,760.9,4.298870056497175,765,4.322033898305085,5.31,4.8,4.47,4.2,3.96,3.74,3.51,3.27,2.95,4.68,4.45,4.29,4.16,4.04,3.93,3.81,3.67,3.49,"Jose Soriano","22100",667755
"Aaron Nola","PHI",11.094,10.407,15.8975,3.98163,30.78,30.78,0,0,,180.677,757.874,174.355,86.3037,79.9322,26.4793,46.7078,0.5987,5.8622,174.833,8.70889,2.32664,3.74313,1.319,0.230689,0.06163,0.16905909031629562,0.247205,1.22352,0.293408,0.732418,0.422873,,3.97793,2.96687,3.01893,214.17999267578125,,,,,,,758.2000000000002,4.188950276243095,758,4.1878453038674035,5.54,5.04,4.7,4.44,4.2,3.97,3.75,3.5,3.18,4.87,4.66,4.51,4.39,4.28,4.17,4.05,3.92,3.75,"Aaron Nola","16149",605400
"Kevin Gausman","TOR",11.3181,10.4536,16.6731,3.97937,30.78,30.78,0,0,,185.401,782.945,175.757,88.2034,81.9756,25.1322,54.5532,0.7164,4.4745,181.346,8.80316,2.6482,3.32421,1.22,0.231621,0.0696769,0.1619439572095871,0.242785,1.24222,0.291096,0.728285,0.379152,,3.89623,2.92975,2.41668,117.30000305175781,,,,,,,788.9,4.264324324324324,785,4.243243243243243,5.5,5.01,4.68,4.42,4.19,3.97,3.74,3.5,3.19,4.82,4.62,4.48,4.37,4.26,4.16,4.05,3.93,3.77,"Kevin Gausman","14107",592332
"Michael King","SDP",10.461,9.633,14.8848,3.80054,29.16,29.16,0,0,,166.513,703.18,149.976,75.9952,70.3155,21.7392,57.6868,0.9029,6.9101,173.029,9.35221,3.11796,2.99946,1.175,0.246067,0.082037,0.16402998566627502,0.234857,1.24713,0.288942,0.742928,0.401896,,3.91791,2.92319,2.65494,126.25,,,,,,,726.1999999999998,4.348502994011975,700,4.191616766467066,5.4,4.87,4.52,4.24,4,3.77,3.53,3.28,2.96,4.73,4.5,4.34,4.2,4.08,3.96,3.84,3.7,3.52,"Michael King","19853",650633
"Tyler Glasnow","LAD",9.8389,6.836,12.8872,3.60692,24.3,24.3,0,0,,138.55,574.658,117.499,60.275,55.5266,16.3643,50.9228,0.3195,3.9496,161.533,10.4929,3.30787,3.17212,1.063,0.281094,0.0886141,0.19248004257678986,0.226054,1.21561,0.295813,0.743218,0.446989,,3.52696,2.86873,2.82341,121.36000061035156,,,,,,,686.6000000000001,4.939568345323742,646,4.64748201438849,5.27,4.71,4.34,4.04,3.79,3.55,3.31,3.05,2.72,4.53,4.3,4.14,4.01,3.89,3.77,3.65,3.52,3.34,"Tyler Glasnow","14374",607192
"Kyle Bradish","BAL",9.6654,8.0019,13.0008,3.71393,25.92,25.92,0,0,,145.078,608.802,133.92,65.0809,59.8676,17.3287,45.3789,0.3683,6.4941,153.064,9.49544,2.81511,3.37302,1.075,0.251418,0.074538,0.17688018083572388,0.240462,1.23588,0.301631,0.736707,0.451994,,3.65048,2.86687,2.35424,72.48999786376953,,,,,,,668.5,4.610344827586207,657,4.531034482758621,5.41,4.84,4.46,4.17,3.91,3.67,3.42,3.16,2.83,4.7,4.45,4.28,4.13,4.01,3.88,3.75,3.61,3.42,"Kyle Bradish","24586",680694
"Blake Snell","LAD",10.0818,6.7684,13.5783,3.53956,24.3,24.3,0,0,,141.694,596.354,115.681,60.6021,55.7259,16.4522,62.0888,0.5647,3.8918,173.733,11.035,3.94371,2.79813,1.045,0.291325,0.104114,0.18721094727516174,0.218112,1.2546,0.291687,0.757206,0.428642,,3.58932,2.83116,2.92184,143.41000366210938,,,,,,,702.4,4.946478873239436,652,4.591549295774648,5.18,4.62,4.26,3.97,3.72,3.49,3.26,3,2.68,4.44,4.22,4.06,3.94,3.82,3.71,3.6,3.47,3.29,"Blake Snell","13543",605483
"Freddy Peralta","NYM",10.9106,9.2665,15.1877,3.79623,29.16,29.16,0,0,,168.291,710.389,144.355,76.4296,70.9858,22.4388,62.3586,0.4795,7.5898,185.193,9.90388,3.33486,2.9698,1.2,0.260692,0.0877809,0.17291104793548584,0.225399,1.22831,0.281685,0.743209,0.37188,,3.91453,2.74381,2.67615,57.08000183105469,,,,,,,758.1999999999999,4.513095238095238,714,4.25,5.34,4.83,4.49,4.22,3.98,3.76,3.53,3.29,2.97,4.64,4.43,4.29,4.17,4.07,3.96,3.85,3.73,3.56,"Freddy Peralta","18679",642547
"MacKenzie Gore","TEX",10.3309,9.4563,13.9579,3.82339,29.16,29.16,0,0,,161.264,681.59,141.642,73.8024,68.5085,20.8927,61.1959,0.3476,6.3279,182.274,10.1725,3.41528,2.97854,1.166,0.267425,0.089784,0.17764093726873398,0.230663,1.2578,0.293867,0.743343,0.389817,,3.81494,2.70653,2.46126,163.1300048828125,,,,,,,726.9000000000001,4.514906832298137,695,4.316770186335404,5.4,4.88,4.53,4.25,4.01,3.78,3.55,3.3,2.98,4.69,4.48,4.33,4.21,4.1,3.99,3.87,3.75,3.58,"MacKenzie Gore","22201",669022
"Hunter Greene","CIN",8.548,8.1358,11.9185,3.91109,24.3,24.3,0,0,,137.593,575.221,116.463,63.7414,59.7931,21.1129,46.0568,0.3072,7.5331,164.916,10.7872,3.01259,3.58071,1.381,0.2867,0.080068,0.20663203299045563,0.223267,1.18116,0.284116,0.742908,0.335724,,3.9012,2.68384,2.60836,70.76000213623047,,,,,,,629.3000000000001,4.560144927536232,585,4.239130434782608,5.56,4.98,4.61,4.31,4.04,3.8,3.55,3.28,2.94,4.78,4.55,4.39,4.26,4.14,4.03,3.91,3.78,3.6,"Hunter Greene","22182",668881
"Spencer Strider","ATL",10.43,8.7335,14.5676,3.82458,27.54,27.54,0,0,,160.846,674.123,139.367,73.3221,68.352,21.178,57.7892,0.6957,7.1154,187.433,10.4876,3.23355,3.24338,1.185,0.278039,0.085725,0.19231417775154114,0.228764,1.22575,0.295025,0.739278,0.372441,,3.72678,2.66725,2.89636,106.08999633789062,,,,,,,750.7000000000002,4.662732919254659,711,4.416149068322981,5.41,4.87,4.52,4.24,3.99,3.76,3.52,3.27,2.94,4.72,4.49,4.33,4.2,4.08,3.96,3.84,3.7,3.52,"Spencer Strider","27498",675911
"Nick Pivetta","SDP",10.4919,10.0507,15.5746,3.96768,29.16,29.16,0,0,,174.053,727.344,155.578,81.8449,76.732,26.8429,53.8729,0.8626,5.1256,191.716,9.91331,2.78567,3.55868,1.388,0.263584,0.074068,0.18951597809791565,0.23278,1.20337,0.286213,0.742452,0.337698,,3.95397,2.62229,2.45841,94.94000244140625,,,,,,,756.9,4.35,726,4.172413793103448,5.48,4.97,4.64,4.37,4.13,3.9,3.67,3.43,3.11,4.8,4.59,4.44,4.32,4.21,4.1,3.99,3.86,3.69,"Nick Pivetta","15454",601713
"Eury Pérez","MIA",9.1014,9.7233,12.9255,4.00107,27.54,27.54,0,0,,154.035,647.752,134.718,73.0189,68.4785,21.9757,53.744,0.4703,5.3018,171.464,10.0183,3.14016,3.19038,1.284,0.264706,0.08297,0.18173590302467346,0.228837,1.2235,0.28523,0.732061,0.32284,,3.91349,2.61034,2.48671,82.37999725341797,,,,,,,683,4.435064935064935,649,4.214285714285714,5.66,5.08,4.71,4.41,4.14,3.9,3.65,3.38,3.03,4.98,4.71,4.52,4.37,4.23,4.1,3.96,3.8,3.6,"Eury Perez","27768",691587
"Jack Flaherty","DET",10.0597,9.8537,14.0528,3.88922,29.16,29.16,0,0,,163.146,696.61,148.668,76.1218,70.5012,21.354,57.3004,0.8729,6.8379,176.619,9.74325,3.16099,3.08234,1.178,0.253541,0.0822561,0.17128495126962662,0.235059,1.26248,0.293015,0.73746,0.39792,,3.85093,2.58943,2.38639,215.60000610351562,,,,,,,722.5000000000001,4.432515337423314,704,4.319018404907975,5.48,4.96,4.61,4.33,4.09,3.86,3.63,3.37,3.05,4.77,4.56,4.41,4.29,4.18,4.07,3.96,3.83,3.66,"Jack Flaherty","17479",656427
"Yusei Kikuchi","LAA",10.0023,11.3784,15.0015,4.10448,30.78,30.78,0,0,,177.726,748.32,166.008,87.0669,81.0525,26.106,62.9584,0.6787,5.4597,181.845,9.20861,3.1882,2.88834,1.322,0.243005,0.084133,0.1588718667626381,0.244164,1.28831,0.296433,0.737454,0.407168,,4.15323,2.57235,2.44969,495.8800048828125,,,,,,,725.8000000000001,4.0775280898876405,712,4,5.67,5.16,4.82,4.55,4.31,4.08,3.85,3.6,3.27,4.98,4.77,4.62,4.5,4.39,4.28,4.16,4.04,3.86,"Yusei Kikuchi","20633",579328
"Shohei Ohtani","LAD",8.8125,6.0292,10.3804,3.4592,22.68,22.68,0,0,,116.914,479.942,98.2341,48.6363,44.9365,14.7441,36.2745,0.4631,4.5383,136.387,10.499,2.7924,3.75985,1.135,0.284173,0.075581,0.20859208703041077,0.223702,1.15049,0.289897,0.754147,0.411736,,3.48872,2.56084,2.5369,1.2599999904632568,,,,,,,575.5000000000002,4.918803418803421,539,4.6068376068376065,5.19,4.57,4.18,3.86,3.59,3.34,3.09,2.82,2.49,4.39,4.15,3.98,3.84,3.71,3.59,3.46,3.32,3.13,"Shohei Ohtani","19755",660271
"Ryan Pepiot","TBR",10.1797,11.0145,14.7976,4.02212,30.78,30.78,0,0,,174.756,740.491,157.26,83.6964,78.0988,24.8542,63.0536,0.4428,7.4908,184.145,9.48356,3.24729,2.92046,1.28,0.24868,0.0851511,0.16352906078100204,0.234735,1.26069,0.287247,0.73641,0.362239,,4.08759,2.5595,2.42144,128.44000244140625,,,,,,,737.3,4.213142857142857,708,4.045714285714285,5.59,5.07,4.73,4.45,4.2,3.97,3.74,3.49,3.16,4.93,4.7,4.54,4.41,4.28,4.17,4.04,3.91,3.72,"Ryan Pepiot","26221",686752
"Sandy Alcantara","MIA",10.0857,11.8196,16.2592,4.15829,30.78,30.78,0,0,,186.581,795.317,189.575,93.5518,86.2066,22.141,56.0539,0.8741,7.7018,158.32,7.6368,2.70384,2.82443,1.068,0.199066,0.0704799,0.12858594954013824,0.259137,1.31647,0.303818,0.708549,0.469799,,4.00585,2.51399,2.47153,146.86000061035156,,,,,,,743.1999999999998,3.974331550802138,773,4.133689839572193,5.78,5.27,4.93,4.66,4.41,4.18,3.95,3.7,3.37,5.13,4.9,4.74,4.61,4.49,4.37,4.25,4.11,3.92,"Sandy Alcantara","18684",645261
"Nick Lodolo","CIN",9.4583,9.5336,13.3483,4.02824,27.54,27.54,0,0,,157.14,663.32,148.56,75.7073,70.3333,22.6806,43.6504,0.7204,12.8187,160.521,9.1936,2.50002,3.67742,1.299,0.241996,0.0658059,0.17618992924690247,0.244804,1.22317,0.29713,0.726067,0.421819,,4.04651,2.45067,2.64276,124.69000244140625,,,,,,,642.5000000000001,4.09235668789809,637,4.057324840764331,5.68,5.13,4.77,4.48,4.22,3.98,3.74,3.48,3.14,4.96,4.73,4.56,4.43,4.31,4.19,4.07,3.93,3.75,"Nick Lodolo","26378",666157
"Emmet Sheehan","LAD",10.1056,8.0756,10.9386,3.94448,42.3,24.3,0,0.7772,,151.594,637.306,132.605,71.0632,66.4397,22.6716,53.0118,0.8189,6.3954,170.66,10.1319,3.14727,3.21928,1.346,0.267783,0.0831811,0.18460173159837723,0.22946,1.22444,0.285862,0.744451,0.35732,,4.00347,2.39673,2.30193,114.04000091552734,,,,,,,665.0999999999999,4.375657894736841,630,4.144736842105263,5.87193,5.14794,4.68095,4.32295,4.01683,3.73783,3.46239,3.17052,2.80458,4.9467,4.67026,4.48263,4.32382,4.1862,4.04738,3.90857,3.75095,3.54332,"Emmet Sheehan","29839",686218
"Luis Castillo","SEA",11.1283,10.4185,16.4306,3.86244,30.78,30.78,0,0,,181.473,763.135,170.52,84.1623,77.8811,24.8215,51.1209,1.1913,6.7644,171.59,8.50984,2.53529,3.35655,1.231,0.224849,0.066988,0.15786079317331314,0.241787,1.22134,0.286335,0.735609,0.399082,,3.97909,2.37913,2.04315,173.44000244140625,,,,,,,757.3000000000001,4.183977900552486,750,4.143646408839779,5.39,4.9,4.57,4.31,4.08,3.86,3.63,3.39,3.08,4.72,4.52,4.38,4.26,4.15,4.05,3.94,3.82,3.65,"Luis Castillo","15689",622491
